tipo_de_procedimiento,estado,codigo_sigaf,publicacion,cierre,ultima_actualizacion,alcaldia,detalles_procedimiento
COMPRA POR COTIZACION MENOR,Ejecución,,26/10/2020,30/10/2020 10:00:00 AM,04/11/2020 03:29:11 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000)
COMPRA DE 845 LITROS DE COMBUSTIBLE DIESEL PROYECTO CONSTRUCCION DE 125ML DE DRENAJE MENOR SAN BENITO."
COMPRA POR COTIZACION MENOR,Ejecución,,01/10/2020,06/10/2020 02:00:00 PM,05/11/2020 05:13:37 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Alambres, cables y arneses (26120000), Componentes estructurales y formas básicas (30100000), Distribución de fluidos y gas (40140000), Hormigón, cemento y yeso (30110000), Productos no comestibles de planta y silvicultura (11120000), Tierra y piedra (11110000), Ferretería (31160000), Materia prima en placas o barras labradas (31230000), Adhesivos y selladores (31200000)
ADQUISICION DE MATERIALES FERRETEROS PROYECTO CONSTRUCCION DE 125ML DE DRENAJE MENOR EN SAN BENITO."
COMPRA POR COTIZACION MENOR,Ejecución,,01/10/2020,06/10/2020 10:00:00 AM,26/10/2020 02:07:07 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000)
ADQUISICION DE 1010 LITROS DE COMBUSTIBLE DIESEL PROYECTO CONSTRUCCION DE 125ML DE DRENAJE MENOR EN SAN BENITO"
COMPRA POR COTIZACION MENOR,Adjudicado,,29/09/2020,02/10/2020 02:00:00 PM,13/10/2020 03:04:03 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000), Instalaciones de plomería (30180000)
ADQUISICION DE 11 LETRINAS ECOLOGICAS E INSTALACION PROYECTO CONSTRUCCION DE LETRINAS EN EL BARRIO SAN ANTONIO."
COMPRA POR COTIZACION MENOR,Adjudicado,,23/09/2020,28/09/2020 09:30:00 AM,04/07/2021 01:54:41 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Generación de energía (26130000), Iluminación, artefactos y accesorios (39110000), Ferretería (31160000), Puertas y ventanas y vidrio (30170000), Alambres, cables y arneses (26120000), Productos de construcción estructurales (30130000), Lámparas y bombillas y componentes para lámparas (39100000), Componentes estructurales y formas básicas (30100000), Suministros de aseo y limpieza (47130000), Productos no comestibles de planta y silvicultura (11120000), Equipos, suministros y componentes eléctricos (39120000), Tierra y piedra (11110000), Materia prima en placas o barras labradas (31230000), Adhesivos y selladores (31200000), Pinturas y bases y acabados (31210000), Maquinaria, equipo y suministros para talleres (23170000)
ADQUISICION DE MATERIALES FERRETEROS PARA EL PROYECTO SEGUNDA ETAPA DE LA CONSTRUCCION DEL SISTEMA DE AGUA POTABLE EN EL PROYECTO DE LOTIFICACION BISMARCK MARTINEZ."
COMPRA POR COTIZACION MENOR,Ejecución,,11/09/2020,16/09/2020 02:00:00 PM,25/09/2020 10:27:13 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Ferretería (31160000), Alambres, cables y arneses (26120000), Componentes estructurales y formas básicas (30100000), Distribución de fluidos y gas (40140000), Hormigón, cemento y yeso (30110000), Productos no comestibles de planta y silvicultura (11120000), Tierra y piedra (11110000), Materia prima en placas o barras labradas (31230000), Adhesivos y selladores (31200000), Pinturas y bases y acabados (31210000), Maquinaria, equipo y suministros para talleres (23170000)
ADQUISICIÓN DE MATERIALES FERRETEROS PARA REALIZAR ALCANTARILLAS EN LA COMUNIDAD LAS BANDERAS (SECTOR LA BOLSA) PROYECTO MEJORAMIENTO DE CALLES LAS BANDERAS."
COMPRA POR COTIZACION MENOR,Ejecución,,10/09/2020,16/09/2020 09:00:00 AM,05/10/2020 02:00:13 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Materia prima en placas o barras labradas (31230000), Transporte de personas, correo y carga (78100000)
ADQUISICIÓN DE TUBERÍA DE CONCRETO REFORZADO DE 48"" MAS TRASLADO HACIA EL SITIO DEL PROYECTO EN LA COMUNIDAD LAS BANDERAS / PROYECTO MEJORAMIENTO DE CALLES LAS BANDERAS."
COMPRA POR COTIZACION MENOR,Ejecución,,04/09/2020,09/09/2020 02:00:00 PM,24/09/2020 09:05:04 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios de maquinado y procesado (73180000)
ELABORACIÓN DE 08 UNIDADES DE CARRETONES PROYECTO COMPRA DE EQUIPOS DE LIMPIEZA PUBLICA."
COMPRA POR COTIZACION MENOR,Adjudicado,,04/09/2020,09/09/2020 10:30:00 AM,05/11/2020 05:02:43 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Instalaciones de tubos y entubamientos (40170000), Ferretería (31160000), Materia prima en placas o barras labradas (31230000), Adhesivos y selladores (31200000), Distribución de fluidos y gas (40140000)
ADQUISICIÓN DE MATERIAL DE TUBERÍAS Y ACCESORIOS PARA EL PROYECTO CONSTRUCCIÓN DEL SISTEMA DE AGUA POTABLE EN EL PROYECTO DE LOTIFICACION BISMARCK MARTINEZ"
COMPRA POR COTIZACION MAYOR,Adjudicado,,03/08/2020,13/08/2020 10:00:00 AM,08/09/2020 04:43:40 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Ferretería (31160000), Herramientas de mano (27110000), Bombas y compresores industriales (40150000), Alambres, cables y arneses (26120000), Distribución de fluidos y gas (40140000), Recipientes y almacenamiento (24110000), Fuentes de energía (26100000), Equipos, suministros y componentes eléctricos (39120000), Materia prima en placas o barras labradas (31230000), Adhesivos y selladores (31200000), Pinturas y bases y acabados (31210000)
COMPRA DE EQUIPOS DE BOMBEO Y ACCESORIOS DE AGUA POTABLE PROYECTO SEGUNDA ETAPA DE LA CONSTRUCCIÓN DEL SISTEMA DE AGUA POTABLE EN EL PROYECTO DE LOTIFICACION BISMARCK MARTINEZ."
COMPRA POR COTIZACION MENOR,Ejecución,,15/07/2020,21/07/2020 10:00:00 AM,28/07/2020 03:31:06 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Equipo de recreo, parques infantiles y equipo y suministros de natación y de spa (49240000)
ADQUISICIÓN DE JUEGOS INFANTIL NUEVO Y REPARACIÓN DE JUEGOS EXISTENTE PROYECTO OBRAS DE MEJORAMIENTO EN EL PARQUE MUNICIPAL BUENA AVENTURA NAVARRO."
COMPRA POR COTIZACION MENOR,Adjudicado,,16/07/2020,21/07/2020 09:00:00 AM,23/12/2020 11:29:01 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Alambres, cables y arneses (26120000), Distribución de fluidos y gas (40140000), Componentes y sistemas de transporte (25170000), Lubricantes, aceites, grasas y anticorrosivos (15120000), Maquinaria y accesorios y suministros para soldadura de todas las clases (23270000), Equipos, suministros y componentes eléctricos (39120000)
ADQUISICIÓN DE MATERIALES ELÉCTRICOS PARA EL CURSO SISTEMA ELÉCTRICO DE LA MOTOCICLETA PROYECTO ATENCIÓN Y FUNCIONAMIENTO DE ESCUELAS DE OFICIOS TECNOLÓGICAS Y SECUNDARIAS."
COMPRA POR COTIZACION MENOR,Ejecución,,14/07/2020,17/07/2020 10:00:00 AM,28/07/2020 01:18:58 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Productos no comestibles de planta y silvicultura (11120000), Componentes estructurales y formas básicas (30100000), Ferretería (31160000)
ADQUISICION DE MATERIAL FERRETERO PARA EL PROYECTO AYUDA ANTE EMERGENCIA HUMANITARIAS Y PUNTOS VULNERABLES."
COMPRA POR COTIZACION MENOR,Adjudicado,,03/07/2020,07/07/2020 09:00:00 AM,05/08/2020 06:07:50 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Ferretería (31160000), Instrumentos de medida, observación y ensayo (41110000), Alambres, cables y arneses (26120000), Componentes estructurales y formas básicas (30100000), Hormigón, cemento y yeso (30110000), Productos no comestibles de planta y silvicultura (11120000), Tierra y piedra (11110000), Materia prima en placas o barras labradas (31230000), Adhesivos y selladores (31200000), Pinturas y bases y acabados (31210000), Maquinaria, equipo y suministros para talleres (23170000)
ADQUISICIÓN DE MATERIAL FERRETERO PARA EL PROYECTO REPARACIÓN DE 1,000 ML DE CALLES EN LA COMUNIDADES DE MARVIN SALAZAR, 1000ML DE CALLES EN EL PARAISO, 1000 ML DE CALLES EN EL EMPALME SAN BENITO Y 1000ML DE CALLES EN EL KM 38."
COMPRA POR COTIZACION MENOR,Adjudicado,,21/05/2020,25/05/2020 09:00:00 AM,03/06/2020 08:50:28 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios de maquinado y procesado (73180000)
REPARACIÓN Y MANTENIMIENTO DE 10 CARRETONES PARA RECOLECCIÓN DE DESECHOS EN EL ÁREA DE SERVICIOS MUNICIPALES PROYECTO COMPRA DE EQUIPOS DE LIMPIEZA PUBLICA"
COMPRA POR COTIZACION MENOR,Adjudicado,,19/05/2020,22/05/2020 11:30:00 AM,21/07/2020 03:45:02 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Pinturas y bases y acabados (31210000)
ADQUISICIÓN DE PINTURA Y DISLUYENTE PARA EL PROYECTO OBRAS DE MEJORAMIENTO EN EL PARQUE MUNICIPAL BUENA AVENTURA NAVARRO"
COMPRA POR COTIZACION MENOR,Ejecución,,11/05/2020,14/05/2020 10:30:00 AM,21/07/2020 03:28:34 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Lubricantes, aceites, grasas y anticorrosivos (15120000), Combustibles (15100000)
ADQUISICIÓN DE COMBUSTIBLE Y LUBRICANTES PARA EL PROYECTO MEJORAMIENTO DE CALLE BARRIO RUBEN ULLOA."
COMPRA POR COTIZACION MENOR,Ejecución,,11/05/2020,14/05/2020 10:30:00 AM,18/06/2020 01:19:50 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000), Lubricantes, aceites, grasas y anticorrosivos (15120000)
ADQUISICIÓN DE COMBUSTIBLE DIESEL Y LUBRICANTES PROYECTO MEJORAMIENTO DE CALLE ORONTE CENTENO NORTE, ORONTE CENTENO SUR Y ANEXO SUR."
COMPRA POR COTIZACION MENOR,Ejecución,,27/04/2020,29/04/2020 02:00:00 PM,05/06/2020 03:43:17 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios de maquinado y procesado (73180000)
ELABORACIÓN DE 05 UNIDADES DE CARRETONES PROYECTO COMPRA DE EQUIPOS DE LIMPIEZA PUBLICA."
COMPRA POR COTIZACION MENOR,Ejecución,,24/04/2020,28/04/2020 02:30:00 PM,13/05/2020 05:02:27 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Materia prima en placas o barras labradas (31230000), Distribución de fluidos y gas (40140000)
ADQUISICIÓN DE TUBERÍA Y VÁLVULAS PROYECTO MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE LUZ DE CRISTO RENACER Y MONTE SINAI."
COMPRA POR COTIZACION MENOR,Ejecución,,24/04/2020,28/04/2020 10:30:00 AM,07/05/2020 10:19:08 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000), Lubricantes, aceites, grasas y anticorrosivos (15120000)
ADQUISICIÓN DE COMBUSTIBLE DIÉSEL Y LUBRICANTES PROYECTO MANTENIMIENTO DE CALLES SAN LUIS, ZAMBRANO, LOS TREJOS Y CAMINO BRISAS DE SAN LUIS."
COMPRA POR COTIZACION MENOR,Ejecución,,20/04/2020,22/04/2020 02:00:00 PM,28/04/2020 03:43:05 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Hormigón, cemento y yeso (30110000), Componentes estructurales y formas básicas (30100000), Materia prima en placas o barras labradas (31230000), Pinturas y bases y acabados (31210000), Maquinaria, equipo y suministros para talleres (23170000)
COMPRA DE MATERIALES FERRETEROS PROYECTO MANTENIMIENTO DE LOS CAMPOS DEPORTIVOS 1 Y 2 DE MADERAS MADROÑO, ZAMBRANO SAN RAFAEL, CRISTO REY EL BRASIL, LAS CANOAS Y SAN BENITO AGRÍCOLA ESTADIOS DE BASE BALL Y FOOTBALL URBANOS."
COMPRA POR COTIZACION MENOR,Adjudicado,,20/04/2020,22/04/2020 11:00:00 AM,29/10/2020 09:43:50 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Pinturas y bases y acabados (31210000)
ADQUISICIÓN DE PINTURAS Y DILUYENTE PROYECTO MANTENIMIENTO DE LOS CAMPOS DEPORTIVOS 1 Y 2 DE MADERAS, MADROÑO ZAMBRANO SAN RAFAEL CRISTO REY EL BRASIL CANOAS Y SAN BENITO AGRÍCOLA ESTADIO BASE BALL Y FOOBALL URBANOS."
COMPRA POR COTIZACION MENOR,Ejecución,,08/04/2020,17/04/2020 09:00:00 AM,30/04/2020 11:40:55 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Hormigón, cemento y yeso (30110000), Materia prima en placas o barras labradas (31230000), Maquinaria, equipo y suministros para talleres (23170000)
COMPRA DE MATERIALES FERRETEROS PROYECTO REPARACIÓN Y MANTENIMIENTO DE INFRAESTRUCTURA MUNICIPALES."
COMPRA POR COTIZACION MENOR,Adjudicado,,08/04/2020,16/04/2020 10:00:00 AM,24/04/2020 08:29:09 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios de apoyo a la fabricación (73150000)
ALQUILER DE MAQUINARIA PESADA PROYECTO AYUDA ANTE EMERGENCIA HUMANITARIA Y PUNTOS VULNERABLES."
COMPRA POR COTIZACION MENOR,Ejecución,,08/04/2020,15/04/2020 09:00:00 AM,16/04/2020 08:00:04 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Lubricantes, aceites, grasas y anticorrosivos (15120000), Combustibles (15100000)
ADQUISICIÓN DE COMBUSTIBLE Y LUBRICANTES PROYECTO SEGUNDA ETAPA DE URBANIZACIÓN BISMARCK MARTINEZ."
COMPRA POR COTIZACION MENOR,Ejecución,,25/03/2020,27/03/2020 02:00:00 PM,17/04/2020 04:59:54 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Coleccionables y condecoraciones (49100000)
ADQUISICIÓN DE TROFEOS, Y MEDALLAS PROYECTO APOYO AL DEPORTE FEDERADO EN SUS DIFERENTES DICIPLINAS Y EVENTOS DEPORTIVO POR EL GOBIERNO CENTRAL."
COMPRA POR COTIZACION MENOR,Ejecución,,23/03/2020,27/03/2020 10:00:00 AM,20/04/2020 03:05:47 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Recipientes y almacenamiento (24110000), Cubiertas, cajas y envolturas (31260000)
ADQUISICIÓN DE PLÁSTICO NEGRO DE 1000 PROYECTO MEJORAMIENTO DEL PARQUE NATURAL Y VIVERO MUNICIPAL."
COMPRA POR COTIZACION MENOR,Ejecución,,23/03/2020,27/03/2020 09:00:00 AM,08/05/2020 05:11:01 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Recipientes y almacenamiento (24110000), Ferretería (31160000), Herramientas de mano (27110000)
COMPRA DE HERRAMIENTAS MENORES PROYECTO MEJORAMIENTO DEL PARQUE NACIONAL Y VIVERO MUNICIPAL."
COMPRA POR COTIZACION MENOR,Ejecución,,16/03/2020,20/03/2020 10:30:00 AM,17/04/2020 05:29:47 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Lubricantes, aceites, grasas y anticorrosivos (15120000), Combustibles (15100000)
ADQUISICIÓN DE COMBUSTIBLE DIÉSEL Y LUBRICANTES PARA EL PROYECTO REPARACIÓN DE 3KM DE CAMINO EN VILLA JAPÓN EL TIMAL."
COMPRA POR COTIZACION MENOR,Ejecución,,16/03/2020,20/03/2020 10:30:00 AM,29/06/2020 11:42:30 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000), Lubricantes, aceites, grasas y anticorrosivos (15120000)
ADQUISICIÓN DE COMBUSTIBLE DIÉSEL Y LUBRICANTES PROYECTO MANTENIMIENTO DE 3KM DE CAMINO TRAMO SAN JUAN LA PLYWOOD -HOSPITALITO YOLANDA MAYORGA."
COMPRA POR COTIZACION MENOR,Ejecución,,16/03/2020,20/03/2020 10:30:00 AM,08/04/2020 02:04:36 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Lubricantes, aceites, grasas y anticorrosivos (15120000)
ADQUISICIÓN DE LUBRICANTES PROYECTO REPARACIÓN DE 2KM DE CAMINO EN LA COMUNIDAD COLAMA Y 2KM EL BRASIL."
COMPRA POR COTIZACION MENOR,Ejecución,,16/03/2020,20/03/2020 10:00:00 AM,24/04/2020 10:21:10 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000), Lubricantes, aceites, grasas y anticorrosivos (15120000)
ADQUISICIÓN DE COMBUSTIBLE DIÉSEL Y LUBRICANTES PROYECTO MANTENIMIENTO DE 3KM DE CAMINO HACIA LOS LAURELES."
COMPRA POR COTIZACION MENOR,Adjudicado,,13/03/2020,18/03/2020 10:00:00 AM,29/10/2020 09:57:57 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Alambres, cables y arneses (26120000), Lámparas y bombillas y componentes para lámparas (39100000), Distribución de fluidos y gas (40140000), Componentes y sistemas de transporte (25170000), Lubricantes, aceites, grasas y anticorrosivos (15120000), Equipos, suministros y componentes eléctricos (39120000), Adhesivos y selladores (31200000)
ADQUISICIÓN DE MATERIALES ELÉCTRICOS PARA EL CURSO SISTEMA ELÉCTRICO DE LA MOTOCICLETA PROYECTO ATENCIÓN Y FUNCIONAMIENTO DE ESCUELAS DE OFICIOS TECNOLÓGICAS Y SECUNDARIAS."
COMPRA POR COTIZACION MENOR,Adjudicado,,27/02/2020,03/03/2020 10:00:00 AM,10/03/2020 06:03:47 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000)
ADQUISICIÓN DE COMBUSTIBLE PROYECTO ATENCIÓN Y FUNCIONAMIENTO DE LAS ESCUELAS DE OFICIOS, TECNOLÓGICO SECUNDARIA."
COMPRA POR COTIZACION MENOR,Ejecución,,27/02/2020,03/03/2020 10:00:00 AM,25/03/2020 04:21:07 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Productos de construcción estructurales (30130000), Transporte de personas, correo y carga (78100000)
ADQUISICIÓN DE 12,960.00 UNIDADES ADOQUINES TIPO TRAFICO DE 3500PSI PROYECTO CONSTRUCCIÓN DE 385ML DE DRENAJE Y ADOQUINADO EN LOS BARRIOS JORGE NAVARRO Y ORONTE CENTENO NORTE."
COMPRA POR COTIZACION MENOR,Ejecución,,20/02/2020,25/02/2020 11:00:00 AM,09/03/2020 05:00:34 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Productos de construcción estructurales (30130000), Transporte de personas, correo y carga (78100000)
ADQUISICIÓN DE ADOQUIN TIPO TRAFICO DE 3500PSI PROYECTO CONSTRUCCIÓN DE 385ML DE DRENAJE Y ADOQUINADO EN LOS BARRIOS JORGE NAVARRO Y ORONTE CENTENO NORTE."
COMPRA POR COTIZACION MENOR,Ejecución,,17/02/2020,20/02/2020 10:00:00 AM,27/02/2020 11:35:25 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000), Lubricantes, aceites, grasas y anticorrosivos (15120000)
ADQUISICION DE COMBUSTIBLE DIESEL Y LUBRICANTES PARA EL PROYECTO SEGUNDA ETAPA DE URBANIZACION BISMARCK MARTINEZ."
COMPRA POR COTIZACION MENOR,Ejecución,,13/02/2020,19/02/2020 10:00:00 AM,09/11/2020 10:43:37 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios de apoyo a la fabricación (73150000)
ALQUILER DE MAQUINARIA PESADA PARA EL PROYECTO CONSTRUCCIÓN DE 385ML DE DRENAJE Y ADOQUINADO EN LOS BARRIOS JORGE NAVARRO Y ORONTE CENTENO NORTE."
COMPRA POR COTIZACION MENOR,Ejecución,,13/02/2020,19/02/2020 10:00:00 AM,26/02/2020 04:31:13 PM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Combustibles (15100000)
ADQUISICIÓN DE COMBUSTIBLE DIÉSEL PARA EL PROYECTO CONSTRUCCIÓN DE 385ML DE DRENAJE Y ADOQUINADO EN LOS BARRIOS JORGE NAVARRO Y ORONTE CENTENO NORTE."
CONTRATACION SIMPLIFICADA,Adjudicado,,03/03/2020,04/03/2020 02:00:00 PM,26/03/2020 11:53:40 AM,Tipitapa (Alcaldía Tipitapa) - Unidad de Adquisición TIPITAPA,"Servicios inmobiliarios (80130000)
COMPRA DE TERRENO PARA LA SEGUNDA FASE DEL PROGRAMA BISMARCK MARTINEZ LOTES PARA UNA VIVIENDA DIGNA Y SEGURA."
CONTRATACION SIMPLIFICADA,Adjudicado,,02/10/2020,02/10/2020 03:00:00 PM,17/11/2020 09:12:08 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Ferretería (31160000)
COMPRA DE MATERIALES PARA LA RECONSTRUCCION DE VIVIENDA AFECTADA POR INCENDIO ESTRUCTURAL EN LA COMUNIDAD ROSARIO MURILLO"
COMPRA POR COTIZACION MENOR,Adjudicado,,13/07/2020,13/07/2020 01:00:00 PM,16/07/2020 03:24:11 PM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Ferretería (31160000)
Compra de materiales para la construccion de una vivienda social en apoyo a una pobladora,aprobada por el honorable concejo municipal segun certificacion No.56."
COMPRA POR COTIZACION MENOR,Ejecución,,21/05/2020,22/05/2020 02:00:00 PM,22/06/2020 10:26:58 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Productos para el control de plagas (10190000), Alambres, cables y arneses (26120000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Adjudicado,,27/03/2020,30/03/2020 02:00:00 PM,15/04/2020 09:14:19 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Ejecución,,27/03/2020,30/03/2020 02:00:00 PM,22/09/2020 03:47:37 PM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Ejecución,,18/03/2020,20/03/2020 10:00:00 AM,11/09/2020 10:47:51 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Adjudicado,,06/03/2020,10/03/2020 09:00:00 AM,16/03/2020 10:04:30 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Adjudicado,,05/03/2020,06/03/2020 05:00:00 PM,26/03/2020 02:42:49 PM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Ejecución,,27/02/2020,28/02/2020 09:00:00 AM,11/06/2020 11:21:36 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Adjudicado,,21/02/2020,24/02/2020 02:00:00 PM,17/04/2020 10:25:53 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MENOR,Adjudicado,,20/02/2020,20/02/2020 04:00:00 PM,13/03/2020 03:03:03 PM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Servicios de mantenimiento y reparaciones de construcciones e instalaciones (72100000)
MANTENIMIENTO Y REPARACION DE EDIFICIOS Y VIVIENDAS"
COMPRA POR COTIZACION MAYOR,Ejecución,,15/12/2020,18/12/2020 05:00:00 PM,03/02/2021 10:30:19 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Estructuras y edificios permanentes (95120000)
CONSTRUCCION DE DOS PUENTES PEATONALES Y MURO DE PROTECCION DE POSTE DE ENERGIA ELECTRICA EN BARRIO PJCH."
COMPRA POR COTIZACION MENOR,Adjudicado,,30/11/2020,03/12/2020 02:00:00 PM,05/01/2021 12:23:42 PM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Juguetes y juegos (60140000)
Compra de piñatas caramelos para actividades navideñas en barrios y comunidades"
COMPRA POR COTIZACION MENOR,Adjudicado,,11/03/2020,12/03/2020 05:00:00 PM,08/02/2021 11:44:44 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Estructuras Permanentes (30220000)
CONSTRUCCION DE RAMPA DE ACCEDO A PARTE BAJA DEL BARRIO FAUSTINO MIGUEZ"
COMPRA POR COTIZACION MENOR,Adjudicado,,28/02/2020,28/02/2020 01:00:00 PM,12/03/2020 10:23:09 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Utensilios de cocina domésticos (52150000)
Compra de 300 tazas serigrafiadas alusivas al dia internacional de la mujer como estimulo a todas las mujeres valientes lideresas de cada uno de los barrios y comunidades del municipio"
COMPRA POR COTIZACION MENOR,Ejecución,,12/10/2020,15/10/2020 09:00:00 AM,03/11/2020 11:18:05 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Componentes estructurales y formas básicas (30100000)
Compra de 400 laminas de zinc y 200 perlines en apoyo de ayudas sociales en benefico de las familias de escasos recurso economico del municipio Mateare."
COMPRA POR COTIZACION MENOR,Adjudicado,,13/07/2020,13/07/2020 01:00:00 PM,16/07/2020 03:24:11 PM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Ferretería (31160000)
Compra de materiales para la construccion de una vivienda social en apoyo a una pobladora,aprobada por el honorable concejo municipal segun certificacion No.56."
COMPRA POR COTIZACION MENOR,Ejecución,,27/04/2020,27/04/2020 03:00:00 PM,14/05/2024 10:51:48 AM,Mateare (Alcaldía Mateare) - Unidad de Adquisición MATEARE,"Equipo y suministros post mortem y funerarios (42260000)
Contratacion para servicio funebre para atencion requerida a als familias que ameritan atencion social y solidaridad"
